name,brand,notes,price_range,dupes
Aventus,Creed,"pineapple, blackcurrant, apple, bergamot, birch, patchouli, ambergris, vanilla",high,"Club de Nuit Intense Man, Explorer, Cedrat Boise"
Green Irish Tweed,Creed,"lemon, verbena, iris, violet leaf, sandalwood, ambergris",high,"Cool Water, Aspen, Tres Nuit"
Sauvage,Dior,"bergamot, pepper, ambroxan, lavender, vetiver",medium,"Luna Rossa Carbon, Dylan Blue, Y Eau de Parfum"
Bleu de Chanel,Chanel,"citrus, ginger, jasmine, sandalwood, amber, cedar",medium,"Dylan Blue, Allure Homme Sport, Luna Rossa"
Acqua di Gio,Giorgio Armani,"bergamot, neroli, green tangerine, jasmine, rosemary, persimmon, patchouli, cedar, white musk",medium,"Perry Ellis 360 Red, Cool Water, Nautica Voyage"
La Nuit de L'Homme,Yves Saint Laurent,"cardamom, bergamot, lavender, cedar, coumarin, vetiver",medium,"CH Men Prive, The One, Bentley for Men Intense"
Eros,Versace,"mint, green apple, lemon, tonka bean, vanilla, vetiver, cedar, oakmoss",medium,"Joop Homme, 1 Million, Invictus"
One Million,Paco Rabanne,"blood mandarin, grapefruit, mint, rose, cinnamon, spices, leather, woody notes, amber, patchouli",medium,"Joop Homme, Eros, Invictus"
Tobacco Vanille,Tom Ford,"tobacco leaf, vanilla, cocoa, tonka bean, tobacco blossom, dried fruits, wood",high,"Vanilla Tobacco, Phaedon Tabac Rouge, Franck Boclet Tobacco"
Noir de Noir,Tom Ford,"rose, black truffle, vanilla, patchouli, oud, saffron",high,"Rose Oud, Velvet Rose & Oud, Cafe Rose"
Tuscan Leather,Tom Ford,"leather, raspberry, thyme, olibanum, cedar, jasmine",high,"Godolphin, Rasasi La Yuqawam, Montale Aoud Leather"
Oud Wood,Tom Ford,"oud, sandalwood, rosewood, eastern spices, vanilla, amber, vetiver",high,"Versace Oud Noir, Commodity Oud, Montale Aoud Forest"
Baccarat Rouge 540,Maison Francis Kurkdjian,"saffron, jasmine, ambergris, cedar, fir resin",high,"Ariana Grande Cloud, Burberry Her, Al Haramain Amber Oud Gold Edition"
Grand Soir,Maison Francis Kurkdjian,"benzoin, amber, vanilla, tonka bean",high,"Amber Oud Gold Edition, Amber Aoud, Ambre Nuit"
Delina,Parfums de Marly,"turkish rose, lychee, rhubarb, bergamot, vanilla, musk",high,"Roses Greedy, Rose Elixir, Roses Vanille"
Layton,Parfums de Marly,"bergamot, lavender, apple, geranium, vanilla, cardamom, pink pepper",high,"Herod, Naxos, Pegasus"
Black Orchid,Tom Ford,"black truffle, ylang-ylang, bergamot, blackcurrant, dark chocolate, patchouli, vanilla",high,"Velvet Orchid, Orchid Soleil, Hypnotic Poison"
Ombré Leather,Tom Ford,"leather, cardamom, jasmine, patchouli, vetiver, cedar",high,"Godolphin, Tuscan Leather, La Yuqawam"
Noir Extreme,Tom Ford,"mandarin, neroli, saffron, kulfi, rose, jasmine, amber, sandalwood",high,"Spicebomb Extreme, Pure XS, Stronger With You"
Soleil Blanc,Tom Ford,"bergamot, cardamom, ylang-ylang, tuberose, coconut, amber, benzoin",high,"Bronze Goddess, Terracotta, Eau des Lagons"
